code,name
301283.SZ,聚胶股份
688626.SS,翔宇医疗
603680.SS,今创集团
688177.SS,百奥泰
300503.SZ,昊志机电
300252.SZ,金信诺
601908.SS,京运通
603366.SS,日出东方
000632.SZ,ST三木
603995.SS,甬金股份
603895.SS,天永智能
000063.SZ,中兴通讯
001205.SZ,盛航股份
605167.SS,利柏特
300198.SZ,*ST纳川
002565.SZ,顺灏股份
002234.SZ,民和股份
301149.SZ,隆华新材
301618.SZ,长联科技
002083.SZ,孚日股份
002465.SZ,海格通信
002334.SZ,英威腾
300098.SZ,高新兴
002183.SZ,怡 亚 通
301049.SZ,超越科技
601975.SS,招商南油
001378.SZ,德冠新材
600406.SS,国电南瑞
001278.SZ,一彬科技
003816.SZ,中国广核
600506.SS,统一股份
600257.SS,大湖股份
603899.SS,晨光股份
001209.SZ,洪兴股份
600226.SS,亨通股份
600577.SS,精达股份
000589.SZ,贵州轮胎
001309.SZ,德明利
600191.SS,华资实业
603999.SS,读者传媒
600326.SS,西藏天路
601611.SS,中国核建
600477.SS,杭萧钢构
002345.SZ,潮宏基
002414.SZ,高德红外
301038.SZ,深水规院
002245.SZ,蔚蓝锂芯
003023.SZ,彩虹集团
002514.SZ,*ST宝馨
301138.SZ,华研精机
000012.SZ,南  玻Ａ
605116.SS,奥锐特
605016.SS,百龙创园
002338.SZ,奥普光电
002469.SZ,三维化学
688106.SS,金宏气体
300094.SZ,国联水产
688657.SS,浩辰软件
300223.SZ,北京君正
603317.SS,天味食品
301045.SZ,天禄科技
300572.SZ,安车检测
300194.SZ,福安药业
688006.SS,杭可科技
688757.SS,胜科纳米
000856.SZ,冀东装备
002238.SZ,天威视讯
002569.SZ,*ST步森
603217.SS,元利科技
300323.SZ,华灿光电
300472.SZ,*ST新元
300240.SZ,飞力达
300511.SZ,雪榕生物
301026.SZ,浩通科技
000935.SZ,四川双马
688165.SS,埃夫特-U
301291.SZ,明阳电气
300340.SZ,科恒股份
300411.SZ,金盾股份
301126.SZ,达嘉维康
688583.SS,思看科技
688065.SS,凯赛生物
301391.SZ,卡莱特
600238.SS,*ST椰岛
600569.SS,安阳钢铁
000597.SZ,东北制药
603887.SS,城地香江
000720.SZ,新能泰山
001217.SZ,华尔泰
600338.SS,西藏珠峰
600469.SS,风神股份
000620.SZ,盈新发展
001317.SZ,三羊马
603987.SS,康德莱
002191.SZ,劲嘉股份
603309.SS,维力医疗
603458.SS,勘设股份
000948.SZ,南天信息
002326.SZ,永太科技
688118.SS,普元信息
603209.SS,兴通股份
603558.SS,健盛集团
002091.SZ,江苏国泰
688018.SS,乐鑫科技
002226.SZ,江南化工
000848.SZ,承德露露
002577.SZ,雷柏科技
003040.SZ,楚天龙
605108.SS,同庆楼
605008.SS,长鸿高科
600345.SS,长江通信
603169.SS,兰石重装
600961.SS,株冶集团
603638.SS,艾迪精密
688378.SS,奥来德
688429.SS,时创能源
002146.SZ,荣盛发展
002617.SZ,露笑科技
603069.SS,海汽集团
603738.SS,泰晶科技
600861.SS,北京人力
002046.SZ,国机精工
002717.SZ,*ST岭南
688278.SS,特宝生物
688529.SS,豪森智能
605368.SS,蓝天燃气
601512.SS,中新集团
600025.SS,华能水电
600774.SS,汉商集团
300919.SZ,中伟新材
002802.SZ,洪汇新材
600292.SS,电投水电
600125.SS,铁龙物流
300819.SZ,聚杰微纤
600674.SS,川投能源
605268.SS,王力安防
600392.SS,盛和资源
002902.SZ,铭普光磁
301517.SZ,陕西华达
300020.SZ,ST银江
300771.SZ,智莱科技
301246.SZ,宏源药业
688305.SS,科德数控
300120.SZ,经纬辉开
603014.SS,威高血净
300671.SZ,富满微
688205.SS,德科立
300397.SZ,天和防务
600058.SS,五矿发展
300964.SZ,本川智能
601089.SS,福元医药
600158.SS,中体产业
603950.SS,长源东谷
600609.SS,金杯汽车
300864.SZ,南大环境
000523.SZ,红棉股份
605376.SS,博迁新材
300907.SZ,康平科技
603833.SS,欧派家居
000423.SZ,东阿阿胶
603933.SS,睿能科技
300807.SZ,天迈科技
688366.SS,昊海生科
301092.SZ,争光股份
002158.SZ,汉钟精机
002609.SZ,捷顺科技
603177.SS,德创环保
300043.SZ,星辉娱乐
301225.SZ,恒勃股份
300712.SZ,永福股份
603626.SS,科森科技
688680.SS,海优新材
000981.SZ,山子高科
002058.SZ,*ST威尔
002709.SZ,天赐材料
688266.SS,泽璟制药-U
301192.SZ,泰祥股份
000881.SZ,中广核技
300143.SZ,盈康生命
603077.SS,和邦生物
603726.SS,朗迪集团
301325.SZ,曼恩斯特
300612.SZ,宣亚国际
002861.SZ,瀛通通讯
600717.SS,天津港
002961.SZ,瑞达期货
600617.SS,国新能源
300289.SZ,利德曼
002125.SZ,湘潭电化
002674.SZ,兴业科技
301509.SZ,金凯生科
301258.SZ,富士莱
002392.SZ,北京利尔
002025.SZ,航天电器
002774.SZ,快意电梯
300389.SZ,艾比森
002292.SZ,奥飞娱乐
301358.SZ,湖南裕能
600802.SS,福建水泥
002705.SZ,新宝股份
002054.SZ,德美化工
301329.SZ,信音电子
600873.SS,梅花生物
002605.SZ,姚记科技
002154.SZ,报 喜 鸟
600973.SS,宝胜股份
301229.SZ,纽泰格
301578.SZ,辰奕智能
600380.SS,健康元
002910.SZ,庄园牧场
600666.SS,奥瑞德
600137.SS,浪莎股份
000698.SZ,ST沈化
002810.SZ,山东赫达
600280.SS,中央商场
000798.SZ,中水渔业
601500.SS,通用股份
600037.SS,歌华有线
002778.SZ,中晟高科
002029.SZ,七 匹 狼
688217.SS,睿昂基因
300385.SZ,ST雪浪
603757.SS,大元泵业
300663.SZ,科蓝软件
300132.SZ,青松股份
603006.SS,联明股份
300285.SZ,国瓷材料
688317.SS,之江生物
002678.SZ,珠江钢琴
002129.SZ,TCL中环
300763.SZ,锦浪科技
603657.SS,春光科技
603106.SS,恒银科技
301505.SZ,苏州规划
300032.SZ,金龙机电
300876.SZ,蒙泰高新
000552.SZ,甘肃能化
300976.SZ,达瑞电子
600678.SS,ST金顶
300815.SZ,玉禾田
600129.SS,太极集团
000686.SZ,东北证券
